City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2021-05-22 17:06:25,77.484,-69.3632,28.96,67,85,1.77
1,Port Alfred,ZA,2021-05-22 17:06:26,-33.5906,26.891,58.87,57,1,5.82
2,Mount Gambier,AU,2021-05-22 17:06:26,-37.8333,140.7667,49.96,57,77,7.45
3,Mataura,NZ,2021-05-22 17:06:26,-46.1927,168.8643,37.8,96,0,1.95
4,Port Keats,AU,2021-05-22 17:06:26,-14.25,129.55,73.02,67,77,2.13
5,Faanui,PF,2021-05-22 17:06:27,-16.4833,-151.75,80.8,73,41,14.09
6,Chuy,UY,2021-05-22 17:06:27,-33.6971,-53.4616,61.43,70,56,17.34
7,Hilo,US,2021-05-22 17:05:57,19.7297,-155.09,71.33,87,90,5.75
8,Barrow,US,2021-05-22 17:06:27,71.2906,-156.7887,32.02,86,90,12.66
9,Kazanskoye,RU,2021-05-22 17:06:27,55.6448,69.235,68.83,55,65,6.33
10,Mahebourg,MU,2021-05-22 17:06:28,-20.4081,57.7,70.25,71,46,16.96
11,Deputatskiy,RU,2021-05-22 17:06:28,69.3,139.9,24.24,98,100,4.54
12,Saskylakh,RU,2021-05-22 17:06:28,71.9167,114.0833,17.6,93,22,7.36
13,Puerto Ayora,EC,2021-05-22 17:06:28,-0.7393,-90.3518,82.36,82,88,8.99
14,Ketchikan,US,2021-05-22 17:06:26,55.3422,-131.6461,50.47,93,90,9.22
15,Kodinsk,RU,2021-05-22 17:06:28,58.6881,99.1844,39.43,59,91,3.13
16,Urumqi,CN,2021-05-22 17:06:29,43.801,87.6005,58.15,40,0,2.28
17,Lagoa,PT,2021-05-22 17:03:07,39.05,-27.9833,59.31,61,4,11.12
18,Luau,AO,2021-05-22 17:05:23,-10.7073,22.2247,68.2,43,4,3.62
19,Vaini,TO,2021-05-22 17:06:29,-21.2,-175.2,75.36,94,75,8.05
20,Punta Arenas,CL,2021-05-22 17:06:29,-53.15,-70.9167,44.71,81,90,3.89
21,Vestmanna,FO,2021-05-22 17:06:30,62.1564,-7.1664,43.72,72,90,6.85
22,Lompoc,US,2021-05-22 17:05:53,34.6391,-120.4579,65.57,70,90,14.97
23,Thompson,CA,2021-05-22 17:06:30,55.7435,-97.8558,47.75,45,95,4.54
24,Lebu,CL,2021-05-22 17:06:30,-37.6167,-73.65,55.15,73,20,6.55
25,Sinazongwe,ZM,2021-05-22 17:06:30,-17.2614,27.4618,73.31,46,0,4.83
26,Ushuaia,AR,2021-05-22 17:06:30,-54.8,-68.3,38.82,74,89,2.89
27,Kahului,US,2021-05-22 17:06:31,20.8947,-156.47,75.22,74,40,12.66
28,San Patricio,US,2021-05-22 17:06:31,28.017,-97.5169,85.01,58,100,13.51
29,Tynda,RU,2021-05-22 17:06:31,55.1667,124.7167,39.52,62,100,10.92
30,Cape Town,ZA,2021-05-22 17:03:36,-33.9258,18.4232,55.11,56,9,5.82
31,Busselton,AU,2021-05-22 17:06:31,-33.65,115.3333,51.08,75,40,8.63
32,Jhang,PK,2021-05-22 17:06:32,33.6748,72.6963,80.37,35,72,8.81
33,Nantucket,US,2021-05-22 17:03:19,41.2835,-70.0995,69.96,82,1,19.57
34,Sorong,ID,2021-05-22 17:06:32,-0.8833,131.25,77.09,89,100,5.37
35,Havoysund,NO,2021-05-22 17:06:32,70.9963,24.6622,34.68,55,100,21.12
36,Korla,CN,2021-05-22 17:06:32,41.7597,86.1469,67.48,23,0,4.63
37,Cabo San Lucas,MX,2021-05-22 17:06:33,22.8909,-109.9124,92.52,44,1,6.91
38,Bluff,NZ,2021-05-22 17:06:33,-46.6,168.3333,46.6,86,5,9.4
39,Hofn,IS,2021-05-22 17:06:33,64.2539,-15.2082,42.37,74,99,13.58
40,Georgetown,MY,2021-05-22 17:06:33,5.4112,100.3354,82.89,78,20,4.9
41,Laguna,US,2021-05-22 17:06:33,38.421,-121.4238,70.09,53,1,1.99
42,Rikitea,PF,2021-05-22 17:06:34,-23.1203,-134.9692,76.53,66,17,12.35
43,Hellin,ES,2021-05-22 17:06:34,38.5106,-1.701,78.58,42,56,16.58
44,Hearst,CA,2021-05-22 17:06:34,49.6835,-83.6665,62.64,82,100,4.47
45,Nikolskoye,RU,2021-05-22 17:06:34,59.7035,30.7861,59.81,74,43,6.31
46,Oranjemund,NA,2021-05-22 17:06:35,-28.55,16.4333,66.4,44,12,9.78
47,Nisia Floresta,BR,2021-05-22 17:06:35,-6.0911,-35.2086,86.81,54,10,13.44
48,Sola,VU,2021-05-22 17:06:35,-13.8833,167.55,79.3,70,96,16.06
49,Salur,IN,2021-05-22 17:06:35,18.5333,83.2167,82.04,65,98,4.61
50,Waddan,LY,2021-05-22 17:06:36,29.1614,16.139,93.2,16,0,15.1
51,Victoria,HK,2021-05-22 17:05:19,22.2855,114.1577,87.33,83,80,11.01
52,Jamestown,US,2021-05-22 17:05:56,42.097,-79.2353,81.72,55,1,1.01
53,Kapaa,US,2021-05-22 17:06:36,22.0752,-159.319,75.52,71,75,3.0
54,Evensk,RU,2021-05-22 17:06:36,61.95,159.2333,33.13,79,17,6.08
55,Porto Walter,BR,2021-05-22 17:06:37,-8.2686,-72.7439,92.17,45,26,3.38
56,Doha,QA,2021-05-22 17:03:53,25.2867,51.5333,98.91,36,0,5.75
57,Plouzane,FR,2021-05-22 17:06:37,48.3833,-4.6167,57.29,73,75,15.05
58,Aksarka,RU,2021-05-22 17:06:37,66.5606,67.7975,65.44,56,84,18.59
59,Cherskiy,RU,2021-05-22 17:06:37,68.75,161.3,28.08,88,65,5.12
60,Bredasdorp,ZA,2021-05-22 17:06:37,-34.5322,20.0403,48.27,72,89,5.79
61,Nueva Loja,EC,2021-05-22 17:06:38,0.0847,-76.8828,85.48,89,75,6.91
62,New Norfolk,AU,2021-05-22 17:06:38,-42.7826,147.0587,52.72,66,100,1.01
63,Basco,PH,2021-05-22 17:06:38,20.4487,121.9702,83.39,82,69,8.48
64,Ayagoz,KZ,2021-05-22 17:06:38,47.9714,80.4392,57.09,60,75,9.04
65,Tsiroanomandidy,MG,2021-05-22 17:06:20,-18.7667,46.0333,60.91,62,0,1.83
66,Taoudenni,ML,2021-05-22 17:02:36,22.6783,-3.9836,105.08,14,13,12.88
67,Paracuru,BR,2021-05-22 17:04:17,-3.41,-39.0306,86.02,63,77,12.26
68,Nanortalik,GL,2021-05-22 17:06:39,60.1432,-45.2371,37.53,77,64,5.59
69,Tombouctou,ML,2021-05-22 17:06:39,20.0,-3.0,108.09,11,0,13.78
70,Laukaa,RU,2021-05-22 17:06:39,58.7372,29.8453,54.73,86,37,3.56
71,Avarua,CK,2021-05-22 17:06:40,-21.2078,-159.775,75.25,73,20,8.05
72,Wanlaweyn,SO,2021-05-22 17:06:40,2.6185,44.8938,77.88,73,79,16.87
73,Upernavik,GL,2021-05-22 17:06:40,72.7868,-56.1549,29.19,85,100,6.93
74,Port Elizabeth,ZA,2021-05-22 17:06:40,-33.918,25.5701,54.1,62,0,5.75
75,Son La,VN,2021-05-22 17:06:41,21.3167,103.9,77.04,70,26,1.97
76,Mecca,SA,2021-05-22 17:02:19,21.4267,39.8261,91.31,32,6,8.32
77,La Asuncion,VE,2021-05-22 17:05:05,11.0333,-63.8628,82.81,70,50,18.41
78,Nola,IT,2021-05-22 17:06:41,40.922,14.5329,74.35,34,58,3.62
79,Saint-Philippe,RE,2021-05-22 17:06:41,-21.3585,55.7679,74.79,66,91,12.19
80,Esperance,AU,2021-05-22 17:06:41,-33.8667,121.9,61.83,82,100,13.18
81,Pangnirtung,CA,2021-05-22 17:06:42,66.1451,-65.7125,18.7,84,100,7.74
82,Lujan,AR,2021-05-22 17:06:42,-34.5703,-59.105,58.03,93,100,18.37
83,Severobaykalsk,RU,2021-05-22 17:06:42,55.65,109.3167,33.53,74,99,4.0
84,Hobart,AU,2021-05-22 17:06:42,-42.8794,147.3294,53.06,84,100,2.68
85,Bathsheba,BB,2021-05-22 17:06:43,13.2167,-59.5167,88.41,69,75,19.53
86,Prince Rupert,CA,2021-05-22 17:06:43,54.3161,-130.3201,48.29,100,90,2.3
87,Zheleznodorozhnyy,RU,2021-05-22 17:06:43,55.7503,38.0042,66.61,60,44,8.3
88,Pevek,RU,2021-05-22 17:06:43,69.7008,170.3133,29.5,92,100,5.7
89,Alofi,NU,2021-05-22 17:06:44,-19.0595,-169.9187,79.54,83,96,13.98
90,Bilma,NE,2021-05-22 17:06:44,18.6853,12.9164,101.21,6,7,7.2
91,Sirnak,TR,2021-05-22 17:06:44,37.5228,42.4594,75.27,38,79,1.7
92,Waipawa,NZ,2021-05-22 17:06:44,-41.4122,175.5153,49.03,76,100,6.93
93,Sao Jose Da Coroa Grande,BR,2021-05-22 17:06:45,-8.8978,-35.1478,81.9,61,85,8.72
94,Rosetta,EG,2021-05-22 17:06:45,31.4044,30.4164,68.92,66,0,18.9
95,Kayes,ML,2021-05-22 17:06:45,14.0,-11.0,104.77,10,21,8.86
96,Souillac,MU,2021-05-22 17:06:45,-20.5167,57.5167,70.36,73,55,16.71
97,Porto Novo,BJ,2021-05-22 17:06:45,6.4965,2.6036,84.16,73,96,12.82
98,Butaritari,KI,2021-05-22 17:06:46,3.0707,172.7902,83.01,80,86,17.9
99,Nokaneng,BW,2021-05-22 17:06:46,-19.6667,22.2667,67.35,28,0,8.32
100,Nushki,PK,2021-05-22 17:06:46,29.5542,66.0215,81.63,9,0,4.9
101,Kanigoro,ID,2021-05-22 17:06:46,-8.13,112.219,73.08,94,80,1.3
102,Horasan,TR,2021-05-22 17:06:47,40.0458,42.1728,57.13,76,96,5.19
103,Longyearbyen,SJ,2021-05-22 17:06:47,78.2186,15.6401,26.44,50,75,6.91
104,Namatanai,PG,2021-05-22 17:06:47,-3.6667,152.4333,79.3,85,100,4.88
105,Santa Barbara,US,2021-05-22 17:06:47,34.7333,-120.0343,60.82,27,1,6.6
106,Clyde River,CA,2021-05-22 17:03:15,70.4692,-68.5914,21.11,72,46,2.46
107,Kavieng,PG,2021-05-22 17:06:48,-2.5744,150.7967,82.69,75,100,1.97
108,Nordby,DK,2021-05-22 17:06:48,55.446,8.3979,50.74,92,75,10.0
109,Ponta Do Sol,PT,2021-05-22 17:06:48,32.6667,-17.1,65.03,80,97,12.1
110,Noumea,NC,2021-05-22 17:06:48,-22.2763,166.4572,72.0,99,62,4.97
111,East London,ZA,2021-05-22 17:06:49,-33.0153,27.9116,61.9,51,1,3.56
112,Acajutla,SV,2021-05-22 17:06:49,13.5928,-89.8275,90.81,62,92,7.29
113,Tasiilaq,GL,2021-05-22 17:06:49,65.6145,-37.6368,32.16,74,100,5.97
114,Castro,BR,2021-05-22 17:06:49,-24.7911,-50.0119,71.44,70,30,10.33
115,Albany,US,2021-05-22 17:03:35,42.6001,-73.9662,84.72,43,100,7.0
116,Shemgang,BT,2021-05-22 17:06:50,27.2169,90.6579,59.45,94,83,2.44
117,Kyshtovka,RU,2021-05-22 17:06:50,56.555,76.6271,64.38,63,3,7.87
118,Corrente,BR,2021-05-22 17:06:50,-3.7367,-43.3394,91.17,43,55,4.05
119,Komsomolskiy,UZ,2021-05-22 17:06:50,40.4272,71.7189,74.62,26,91,2.24
120,Constitucion,CL,2021-05-22 17:06:51,-35.3333,-72.4167,58.6,57,0,11.97
121,Matagalpa,NI,2021-05-22 17:06:51,12.9256,-85.9175,87.12,37,45,9.98
122,Hermanus,ZA,2021-05-22 17:06:51,-34.4187,19.2345,54.9,60,88,4.88
123,Hithadhoo,MV,2021-05-22 17:06:51,-0.6,73.0833,84.54,70,52,9.91
124,Hamilton,US,2021-05-22 17:05:15,39.1834,-84.5333,85.05,53,1,1.99
125,Norman Wells,CA,2021-05-22 17:06:52,65.282,-126.8329,53.64,66,75,0.0
126,Rundu,NA,2021-05-22 17:06:52,-17.9333,19.7667,67.39,30,15,5.91
127,Arlit,NE,2021-05-22 17:06:52,18.7369,7.3853,107.17,4,0,14.88
128,Khatanga,RU,2021-05-22 17:06:52,71.9667,102.5,22.3,99,90,1.1
129,Berlevag,NO,2021-05-22 17:06:53,70.8578,29.0864,34.43,62,100,23.4
130,Makakilo City,US,2021-05-22 17:01:53,21.3469,-158.0858,72.68,69,37,14.81
131,Smoky Lake,CA,2021-05-22 17:06:53,54.1169,-112.4686,55.49,46,4,10.49
132,Camana,PE,2021-05-22 17:06:53,-16.6228,-72.7111,68.25,73,52,10.89
133,Husavik,IS,2021-05-22 17:06:53,66.0449,-17.3389,37.45,96,100,5.46
134,Ginda,IN,2021-05-22 17:06:53,30.6945,78.4932,60.08,65,61,5.37
135,Hay River,CA,2021-05-22 17:06:54,60.8156,-115.7999,55.62,40,100,13.27
136,Tarauaca,BR,2021-05-22 17:06:54,-8.1614,-70.7656,93.31,45,22,1.95
137,Ranong,TH,2021-05-22 17:06:54,9.9658,98.6348,78.89,89,100,7.45
138,Gwanda,ZW,2021-05-22 17:06:54,-20.9333,29.0,60.96,66,31,8.21
139,Winter Springs,US,2021-05-22 17:06:55,28.6989,-81.3081,88.29,50,75,1.99
140,Shingu,JP,2021-05-22 17:06:55,33.7333,135.9833,60.91,88,4,6.4
141,Ribeira Grande,PT,2021-05-22 17:06:55,38.5167,-28.7,64.8,48,20,12.66
142,Staraya Poltavka,RU,2021-05-22 17:06:55,50.4772,46.4814,74.91,57,99,13.87
143,Chokurdakh,RU,2021-05-22 17:06:56,70.6333,147.9167,11.95,97,69,4.14
144,Yugorsk,RU,2021-05-22 17:06:56,61.3133,63.3319,61.48,80,100,10.65
145,Zhezkazgan,KZ,2021-05-22 17:06:56,47.8043,67.7144,70.02,35,0,10.31
146,Yellowknife,CA,2021-05-22 17:06:57,62.456,-114.3525,50.32,49,100,5.01
147,Amberley,US,2021-05-22 17:06:57,39.2048,-84.428,84.34,50,1,3.0
148,Vostok,RU,2021-05-22 17:06:57,46.4856,135.8833,50.9,71,17,3.6
149,Corpus Christi,US,2021-05-22 17:02:02,27.8006,-97.3964,84.76,75,100,8.01
150,Tuktoyaktuk,CA,2021-05-22 17:06:57,69.4541,-133.0374,33.1,83,17,13.89
151,Stephenville,US,2021-05-22 17:06:57,32.2207,-98.2023,74.01,90,90,11.5
152,Berea,US,2021-05-22 17:06:07,41.3662,-81.8543,81.79,44,90,9.22
153,Araouane,ML,2021-05-22 17:06:58,18.9048,-3.5265,107.71,10,1,14.09
154,Padang,ID,2021-05-22 17:06:58,-0.9492,100.3543,78.06,87,86,3.51
155,Ballarat,AU,2021-05-22 17:05:19,-37.5662,143.8496,43.02,59,25,3.47
156,Ancud,CL,2021-05-22 17:06:58,-41.8697,-73.8203,56.43,79,92,5.59
157,Jamsa,FI,2021-05-22 17:06:58,61.8642,25.19,54.32,85,87,5.53
158,Mogadishu,SO,2021-05-22 17:06:59,2.0371,45.3438,78.82,82,12,16.96
159,Saldanha,ZA,2021-05-22 17:06:59,-33.0117,17.9442,58.26,61,1,10.49
160,Garden City,US,2021-05-22 17:05:56,42.3256,-83.331,84.11,85,75,4.52
161,Los Llanos De Aridane,ES,2021-05-22 17:06:59,28.6585,-17.9182,71.13,79,20,22.24
162,Heishan,CN,2021-05-22 17:06:59,41.6892,122.1128,67.84,62,52,16.75
163,Funtua,NG,2021-05-22 17:07:00,11.5233,7.3081,98.42,14,14,5.39
164,Bandarbeyla,SO,2021-05-22 17:07:00,9.4942,50.8122,80.87,80,99,27.4
165,Vestmannaeyjar,IS,2021-05-22 17:07:00,63.4427,-20.2734,43.79,70,75,18.41
166,Saint George,US,2021-05-22 17:07:00,37.1041,-113.5841,68.47,18,1,1.99
167,Tyrma,RU,2021-05-22 17:07:01,50.0833,132.1667,57.76,93,80,3.71
168,Dingle,PH,2021-05-22 17:07:01,10.9995,122.6711,77.58,87,60,3.53
169,Sisimiut,GL,2021-05-22 17:07:01,66.9395,-53.6735,29.3,61,98,20.36
170,Port Macquarie,AU,2021-05-22 17:07:01,-31.4333,152.9167,53.38,90,19,7.16
171,Nhulunbuy,AU,2021-05-22 17:07:02,-12.2333,136.7667,75.81,83,98,5.75
172,Impfondo,CG,2021-05-22 17:07:02,1.6381,18.0667,76.35,87,92,1.95
173,Verkhoyansk,RU,2021-05-22 17:07:02,67.5447,133.385,30.58,75,39,5.73
174,Torbay,CA,2021-05-22 17:07:02,47.6666,-52.7314,67.87,56,87,19.08
175,Yankton,US,2021-05-22 17:03:17,42.8711,-97.3973,77.25,65,90,10.36
176,Ibotirama,BR,2021-05-22 17:06:13,-12.1853,-43.2206,97.03,22,68,3.69
177,Richards Bay,ZA,2021-05-22 17:07:03,-28.783,32.0377,62.46,84,79,1.07
178,Rafsanjan,IR,2021-05-22 17:07:03,30.4067,55.9939,83.21,8,24,5.12
179,Iqaluit,CA,2021-05-22 17:07:03,63.7506,-68.5145,22.69,67,100,21.0
180,Luchegorsk,RU,2021-05-22 17:07:03,46.4764,134.2569,59.05,64,42,0.85
181,Yulara,AU,2021-05-22 17:07:04,-25.2406,130.9889,58.84,41,89,6.91
182,Saint-Jean-Port-Joli,CA,2021-05-22 17:07:04,47.2171,-70.2658,64.18,91,96,12.93
183,Isoka,ZM,2021-05-22 17:07:04,-10.1606,32.6335,59.72,71,80,0.98
184,San-Pedro,CI,2021-05-22 17:07:04,4.7485,-6.6363,84.11,68,39,7.87
185,Jumla,NP,2021-05-22 17:07:05,29.2747,82.1838,54.36,82,21,3.96
186,Shunyi,CN,2021-05-22 17:07:05,40.125,116.6453,71.08,88,90,11.18
187,Hambantota,LK,2021-05-22 17:07:05,6.1241,81.1185,81.91,81,94,15.66
188,Kruisfontein,ZA,2021-05-22 17:07:05,-34.0033,24.7314,51.89,64,1,6.38
189,Chapais,CA,2021-05-22 17:07:06,49.7834,-74.8492,56.98,91,100,9.35
190,Quballat,TN,2021-05-22 17:07:06,36.5418,9.6633,79.02,28,9,16.17
191,Atuona,PF,2021-05-22 17:07:06,-9.8,-139.0333,79.75,68,86,14.7
192,Haines Junction,CA,2021-05-22 17:07:06,60.7522,-137.5108,41.68,67,94,5.41
193,Marilandia,BR,2021-05-22 17:07:07,-19.4128,-40.5417,89.47,37,85,5.26
194,Gamba,GA,2021-05-22 17:07:07,-2.65,10.0,78.37,82,96,6.98
195,Arraial Do Cabo,BR,2021-05-22 17:07:07,-22.9661,-42.0278,82.26,69,0,4.61
196,Broome,US,2021-05-22 17:07:07,42.2506,-75.833,82.56,54,1,5.99
197,Ostrovnoy,RU,2021-05-22 17:07:07,68.0531,39.5131,35.06,97,100,11.77
198,Sohagpur,IN,2021-05-22 17:07:08,22.7,78.2,89.58,30,46,4.5
199,Sioux Lookout,CA,2021-05-22 17:07:08,50.1001,-91.917,53.06,95,100,6.33
200,Guiratinga,BR,2021-05-22 17:07:08,-16.3494,-53.7583,86.43,46,98,5.93
201,Cayenne,GF,2021-05-22 17:07:08,4.9333,-52.3333,87.84,81,20,8.99
202,San Vicente,AR,2021-05-22 17:07:09,-26.6167,-54.1333,63.82,65,73,5.73
203,College,US,2021-05-22 17:07:09,64.8569,-147.8028,47.59,87,90,5.75
204,Altay,CN,2021-05-22 17:07:09,47.8667,88.1167,47.84,46,21,4.81
205,Nanyang,CN,2021-05-22 17:05:58,32.9947,112.5328,69.82,80,100,8.19
206,Ternate,ID,2021-05-22 17:07:09,0.8,127.4,80.1,81,100,4.38
207,Tual,ID,2021-05-22 17:07:10,-5.6667,132.75,80.65,82,100,11.45
208,Madras,IN,2021-05-22 17:03:12,13.0878,80.2785,84.96,85,75,1.01
209,Cidreira,BR,2021-05-22 17:07:10,-30.1811,-50.2056,70.32,75,64,12.86
210,Tabou,CI,2021-05-22 17:07:10,4.423,-7.3528,83.14,72,61,7.72
211,Sobolevo,RU,2021-05-22 17:07:10,54.4299,31.8996,58.68,78,42,12.15
212,Sines,PT,2021-05-22 17:07:10,37.9562,-8.8698,63.28,63,100,10.0
213,Tuatapere,NZ,2021-05-22 17:07:11,-46.1333,167.6833,41.83,91,3,4.32
214,Mar Del Plata,AR,2021-05-22 17:04:15,-38.0023,-57.5575,59.09,61,90,11.99
215,Kaitangata,NZ,2021-05-22 17:07:11,-46.2817,169.8464,45.93,85,0,4.14
216,Kenai,US,2021-05-22 17:07:11,60.5544,-151.2583,47.03,81,90,13.8
217,Anchorage,US,2021-05-22 17:07:11,61.2181,-149.9003,49.21,73,40,3.0
218,Olinda,BR,2021-05-22 17:07:12,-8.0089,-34.8553,82.13,62,40,10.74
219,Aasiaat,GL,2021-05-22 17:03:10,68.7098,-52.8699,28.47,70,100,4.63
220,Shchebetovka,UA,2021-05-22 17:07:12,44.9333,35.15,62.67,77,96,5.59
221,Ahuimanu,US,2021-05-22 17:07:12,21.4447,-157.8378,74.91,73,90,10.36
222,Sao Joao Da Barra,BR,2021-05-22 17:03:45,-21.6403,-41.0511,79.68,60,100,6.64
223,Ahipara,NZ,2021-05-22 17:07:12,-35.1667,173.1667,57.97,75,100,15.01
224,Xining,CN,2021-05-22 17:07:13,36.6167,101.7667,39.58,92,100,3.67
225,Batemans Bay,AU,2021-05-22 17:07:13,-35.7167,150.1833,47.91,88,3,4.34
226,Bambous Virieux,MU,2021-05-22 17:07:13,-20.3428,57.7575,70.21,70,39,17.16
227,Aklavik,CA,2021-05-22 17:07:13,68.2191,-135.0107,46.69,70,100,8.46
228,Cua,VE,2021-05-22 17:07:13,10.1589,-66.8858,91.6,40,92,3.98
229,Asilah,MA,2021-05-22 17:07:14,35.465,-6.0348,69.76,51,95,14.14
230,Mareeba,AU,2021-05-22 17:07:14,-17.0,145.4333,65.12,98,97,2.57
231,Santa Isabel Do Rio Negro,BR,2021-05-22 17:07:14,-0.4139,-65.0192,88.0,64,64,7.16
232,Yar-Sale,RU,2021-05-22 17:07:14,66.8333,70.8333,62.58,55,64,12.88
233,Mehamn,NO,2021-05-22 17:07:15,71.0357,27.8492,34.5,57,100,22.28
234,Longyan,CN,2021-05-22 17:07:15,25.1072,117.0225,76.01,92,100,2.95
235,Saquarema,BR,2021-05-22 17:07:15,-22.92,-42.5103,84.22,58,54,1.25
236,Meulaboh,ID,2021-05-22 17:07:15,4.1363,96.1285,78.66,85,100,3.51
237,Sur,OM,2021-05-22 17:07:15,22.5667,59.5289,90.72,45,2,7.67
238,Mount Isa,AU,2021-05-22 17:07:16,-20.7333,139.5,65.97,48,0,5.75
239,Sechura,PE,2021-05-22 17:07:16,-5.5569,-80.8222,76.6,58,7,11.86
240,Hasaki,JP,2021-05-22 17:07:16,35.7333,140.8333,61.2,88,100,13.35
241,Canon City,US,2021-05-22 17:07:16,38.441,-105.2424,76.41,40,75,10.0
242,Skowhegan,US,2021-05-22 17:03:36,44.7651,-69.7192,80.38,62,100,6.24
243,Turukhansk,RU,2021-05-22 17:07:17,65.8167,87.9833,38.25,99,100,9.98
244,Kapit,MY,2021-05-22 17:07:17,2.0167,112.9333,74.26,100,94,1.1
245,Fairbanks,US,2021-05-22 17:05:45,64.8378,-147.7164,49.23,91,90,14.97
246,Cockburn Town,TC,2021-05-22 17:07:17,21.4612,-71.1419,76.37,77,79,19.77
247,Bama,NG,2021-05-22 17:07:17,11.5221,13.6856,97.66,27,37,6.71
248,Vao,NC,2021-05-22 17:07:18,-22.6667,167.4833,71.04,66,21,11.1
249,Beaverlodge,CA,2021-05-22 17:07:18,55.2166,-119.4361,58.68,38,38,6.49
250,Yuci,CN,2021-05-22 17:07:18,37.6803,112.7319,56.95,61,40,9.08
251,Fortuna,US,2021-05-22 17:05:28,40.5982,-124.1573,58.93,65,20,3.0
252,Dikson,RU,2021-05-22 17:07:18,73.5069,80.5464,32.83,98,100,12.1
253,Okhotsk,RU,2021-05-22 17:07:19,59.3833,143.3,33.78,99,100,4.63
254,Baykit,RU,2021-05-22 17:07:19,61.67,96.37,41.67,75,100,1.12
255,Harper,LR,2021-05-22 17:07:19,4.375,-7.7169,83.41,71,44,6.6
256,Sawang Daen Din,TH,2021-05-22 17:07:19,17.4753,103.4575,92.07,55,54,11.77
257,Totness,SR,2021-05-22 17:07:20,5.8833,-56.3167,81.66,82,49,11.48
258,Panaba,MX,2021-05-22 17:07:20,21.2833,-88.2667,74.59,93,100,9.73
259,Bonavista,CA,2021-05-22 17:07:20,48.6499,-53.1147,53.31,63,100,23.98
260,Bethel,US,2021-05-22 17:07:20,41.3712,-73.414,88.18,44,1,5.75
261,Saint-Pierre,RE,2021-05-22 17:05:01,-21.3393,55.4781,74.88,70,90,21.85
262,Bongandanga,CD,2021-05-22 17:07:21,1.5,21.05,75.92,80,100,1.63
263,Coquimbo,CL,2021-05-22 17:07:21,-29.9533,-71.3436,67.73,50,0,7.87
264,Dunedin,NZ,2021-05-22 17:07:21,-45.8742,170.5036,44.8,86,0,4.0
265,Buraydah,SA,2021-05-22 17:07:21,26.326,43.975,97.52,10,85,9.51
266,Gander,CA,2021-05-22 17:07:22,48.9682,-54.5906,55.17,58,100,23.0
267,Carnarvon,AU,2021-05-22 17:07:22,-24.8667,113.6333,73.47,64,57,11.5
268,Beringovskiy,RU,2021-05-22 17:07:22,63.05,179.3167,32.0,87,100,2.3
269,Felipe Carrillo Puerto,MX,2021-05-22 17:07:22,19.5833,-88.05,84.11,63,99,6.33
270,Nuevo Casas Grandes,MX,2021-05-22 17:05:35,30.4167,-107.9167,79.75,25,1,5.99
